,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,,,
37,29,Belgium,"4,170,252",,"31,816 ",,"4,090,549","+3,343","47,887",66,"356,807","2,722","34,197,937","2,925,980","11,687,686 ",Europe,33670,,,"4,097",,,,,
38,30,South Africa,"3,979,126",,"101,509 ",,"3,856,957",,"20,660",192,"65,486","1,671","25,504,687","419,743","60,762,580 ",Africa,155992,,,340,,,,,
39,31,Czechia,"3,923,029",,"40,302 ",,"3,881,699",,"1,028",2,"365,014","3,750","55,462,528","5,160,455","10,747,604 ",Europe,32670,,,96,,,,,
40,32,Canada,"3,899,493",,"41,527  ",,"3,546,436",,"311,530",252,"101,588","1,082","62,220,040","1,620,923","38,385,559 ",North America,109241,,,"8,116",,,,,
41,33,Chile,"3,829,119",,"58,109 ",,"3,542,787",,"228,223",156,"197,019","2,990","39,436,831","2,029,140","19,435,247 ",South America,53340,,,"11,743",,,,,
42,34,Philippines,"3,693,608",,"60,461 ",,"3,630,050",,"3,097",440,"32,856",538,"30,440,249","270,780","112,416,830 ",Asia,"301,8594",,,28,,,,,
43,35,Switzerland,"3,667,742",,"13,967 ",,"3,625,749","+1,526","28,026",44,"417,849","1,591","21,153,745","2,409,947","8,777,680 ",Europe,26280,,,"3,193",,,,,
44,36,Peru,"3,591,816",,"213,338 ",,"3,367,622",,"10,856",140,"106,063","6,300","31,020,248","916,001","33,864,868 ",South America,91591,,,321,,,,,
45,37,Greece,"3,500,489",,"30,020 ",,"3,423,217",,"47,252",110,"339,060","2,908","83,576,762","8,095,305","10,324,103 ",Europe,33440,,,"4,577",,,,,
46,38,Denmark,"2,992,597",,"6,414 ",,"2,977,628",,"8,555",9,"513,146","1,100","127,533,042","21,868,338","5,831,858 ",Europe,29090,,,"1,467",,,,,
47,39,Taiwan,"2,937,363",,"4,280 ",,"1,464,711",,"1,468,372",,"122,899",179,"19,607,043","820,358","23,900,579 ",Asia,"85,5841",,,"61,437",,,,,
48,40,Romania,"2,912,878",,"65,714 ",,"2,842,802",,"4,362",48,"153,404","3,461","23,326,374","1,228,461","18,988,290 ",Europe,72891,,,230,,,,,
49,41,Sweden,"2,510,930",,"19,016 ",,"2,486,355",,"5,559",6,"245,647","1,860","18,622,701","1,821,879","10,221,702 ",Europe,45381,,,544,,,,,
50,42,Iraq,"2,330,049",,"25,223 ",,"2,303,357",,"1,469",9,"55,508",601,"18,647,439","444,228","41,977,141 ",Asia,"181,6642",,,35,,,,,
51,43,Serbia,"2,020,596",,"16,101 ",,"2,000,165",,"4,330",10,"233,084","1,857","9,793,592","1,129,730","8,668,966 ",Europe,45381,,,499,,,,,
52,44,Bangladesh,"1,954,243",,"29,131 ",,"1,905,337",,"19,775","1,328","11,641",174,"14,191,162","84,532","167,879,547 ",Asia,"865,76312",,,118,,,,,
